ticker,sector,date,market_regime,China_Revenue_Percent,US_Revenue_Percent,Europe_Revenue_Percent,Governance_Score,M_and_A_Event,Major_Product_Launch,Regulatory_Change_Event,Supplier_Concentration,Customer_Concentration,Supply_Chain_Risk_Score,Cyber_Risk_Score,Carbon_Emissions_Score,Regulatory_Risk_Score,Revenue_Growth_YoY,EBITDA_Margin,Market_Risk_Score,Debt_to_Equity,Monthly_Return
AAPL,Technology,2022-01-01,normal,0.17880968291045918,0.664726539096289,0.2938731068483494,64.44406542493695,0,0,0,0.27158871289423286,0.14842786499684468,0.3131366999769599,0.9667370512449276,14.909958413062302,0.5012222850383744,0.0,0.2561562497665988,0.7611783216721871,0.038225107759062786,-0.055139719147895457
AAPL,Technology,2022-02-01,normal,0.2692458449453899,0.6729116183675482,0.3175119647784435,68.31332881439859,0,0,0,0.2815579410032056,0.17082756416653205,0.2992775549851745,0.7127760751276367,6.314006232976709,0.3522213950263179,0.11188479419664149,0.30247638659100845,0.5659886875029626,0.13139610562209006,0.027830413368572105
AAPL,Technology,2022-03-01,normal,0.2598922720886198,0.697806868761447,0.2881088382530603,65.8192697084727,0,0,0,0.18862573962462917,0.12578070500602545,0.2890150904350506,0.854561344973362,23.57014713837316,0.37891828499002334,0.0,0.2759119437011755,0.6195604057699209,0.12068460276752546,-0.006232067101422491
AAPL,Technology,2022-04-01,normal,0.26261788946746056,0.6804297959655797,0.30493853547295957,66.39755086428957,0,0,0,0.24735458607579938,0.1378511876374769,0.5668094612490223,0.6344676811131844,1.220942572304823,0.5653542976680872,0.10542805834303964,0.23310505152359148,0.7776925638605566,0.032628633701971645,-0.024510301104116627
AAPL,Technology,2022-05-01,normal,0.24515112087571514,0.6716710576927325,0.3061499856964585,66.64551702586238,0,0,0,0.30870138729498947,0.20313423177748072,0.30376033183517304,0.7537229491840378,15.317318452614174,0.5209757225780386,0.1399505459284639,0.24333050097930123,0.5990698659889524,0.1743392413155937,-0.0416543350813499
AAPL,Technology,2022-06-01,normal,0.2750356753226941,0.6791678070814486,0.29635316007237805,65.57494658662634,0,0,0,0.27559954594442765,0.17797820356171623,0.5182952964938743,0.7239471134736136,14.452117911528644,0.515431998085593,0.0,0.2227613770117799,0.7390616560666481,0.03204374755606117,-0.024875426573412678
AAPL,Technology,2022-07-01,normal,0.24412523319701948,0.6951742577478838,0.3109102244402314,68.85817344103707,0,0,0,0.27246272343974276,0.19168708192891415,0.20119019401097557,0.8162795647351848,8.811602810373438,0.2558790690589469,0.1276725637214996,0.26471593955049383,0.42521877207476166,0.07548649620772954,0.04101415329739014
AAPL,Technology,2022-08-01,normal,0.2630455061121048,0.7000535522535641,0.3111653746165773,68.34011769559149,0,0,0,0.2713943480240951,0.19778101175611967,0.31090973845679243,0.5674681689008397,21.079836768448082,0.414809251299414,0.15008618180855665,0.21933272409396692,0.5454741134532917,0.037466260562070676,0.017261118710484535
AAPL,Technology,2022-09-01,normal,0.23463372028225574,0.6976712905699247,0.2857225840684551,66.65487281882406,0,0,0,0.3310316609267417,0.20863893804202654,0.25799092427778214,0.7079560965342596,12.779732901633492,0.66553300018186,0.034949518849615134,0.2980798418098078,0.6594816894750272,0.1486274547087879,0.03755922243977494
AAPL,Technology,2022-10-01,normal,0.24695679236200363,0.6648066269777317,0.2937078439829915,69.9177221366356,0,0,0,0.3219005786452239,0.1941505427399687,0.17230012677489076,0.6136278581472754,0.0,0.3760604406315028,0.09644990481579657,0.36627147182910186,0.5787071732953623,0.20913369222161904,-0.014112239240190227
